users,weekly_hours,group
1,11.3735461892577,control
2,12.1836433242221,control
3,11.16437138759,control
4,13.5952808021378,control
5,12.3295077718154,control
6,11.179531615882,control
7,12.4874290524285,control
8,12.7383247051292,control
9,12.5757813516535,control
10,11.6946116128436,control
11,13.5117811684508,control
12,12.3898432364114,control
13,11.3787594194582,control
14,13.1249309181431,control
15,11.9550663909848,control
16,11.9838097369011,control
17,12.9438362106853,control
18,12.8212211950981,control
19,12.5939013212175,control
20,12.9189773716082,control
21,12.7821363007311,control
22,12.0745649833652,control
23,10.0106483041366,control
24,12.6198257478947,control
25,11.943871260471,control
26,11.8442044932947,control
27,10.5292476161007,control
28,11.5218499448914,control
29,12.4179415601997,control
30,13.358679551529,control
31,11.897212272657,control
32,12.3876716115594,control
33,11.9461949594171,control
34,10.6229404431714,control
35,11.5850054367003,control
36,11.6057100462897,control
37,11.9406866032888,control
38,13.1000253719839,control
39,12.7631757484575,control
40,11.8354764037464,control
41,11.7466383198635,control
42,12.6969633754047,control
43,12.5566631986737,control
44,11.3112443054505,control
45,11.2925048430379,control
46,12.3645819621368,control
47,12.7685329245154,control
48,11.8876537878498,control
49,12.8811077264542,control
50,12.3981058803671,control
51,11.3879736067492,control
52,12.3411196914244,control
53,10.8706369039192,control
54,13.433023701701,control
55,13.9803998985059,control
56,11.6327785235335,control
57,10.9558653736835,control
58,12.5697196274424,control
59,11.8649453961192,control
60,14.4016177605048,control
61,11.9607599972668,control
62,12.6897393624508,control
63,12.0280021587807,control
64,11.2567267911176,control
65,12.1887922995143,control
66,10.195041371109,control
67,13.4655548615629,control
68,12.1532533382119,control
69,14.1726116703622,control
70,12.4755095288997,control
71,11.2900535690782,control
72,12.6107263534891,control
73,11.0659023683557,control
74,10.7463665997609,control
75,12.2914462355175,control
76,11.5567081267816,control
77,12.0011053516316,control
78,12.0743413241517,control
79,11.4104790538119,control
80,11.4313312671815,control
81,11.8648213848762,control
82,13.1780869965732,control
83,10.4764331995702,control
84,12.5939461876284,control
85,12.3329503712135,control
86,13.0630998372764,control
87,11.6958160763657,control
88,12.3700188099163,control
89,12.2670987907722,control
90,11.4574799690084,control
91,13.2078678059832,control
92,13.160402615695,control
93,12.700213649515,control
94,13.5868334545408,control
95,12.5584864255653,control
96,10.723407791542,control
97,11.4267345857631,control
98,10.7753873851016,control
99,11.5265993635607,control
100,11.3796333227759,control
101,12.0421158731442,control
102,11.0890783514476,control
103,12.1580287724041,control
104,11.3454153560812,control
105,13.7672872693726,control
106,12.7167074760172,control
107,12.9101742294952,control
108,12.3841853578263,control
109,13.6821760805194,control
110,11.364263546051,control
111,11.5383552696394,control
112,13.4322822385417,control
113,11.3493036466896,control
114,11.792619256398,control
115,11.607192070558,control
116,11.6800071314515,control
117,11.7208866970234,control
118,12.4941883312678,control
119,11.8226695177304,control
120,11.4940425378857,control
121,13.3430388251704,control
122,11.7854205914531,control
123,11.8204434699566,control
124,11.8998092587864,control
125,12.7126663070514,control
126,11.9264355958737,control
127,11.962365828533,control
128,11.3183395212443,control
129,11.6757297277537,control
130,12.0601604404345,control
131,11.4111055137403,control
132,12.5314961926326,control
133,10.4816059182132,control
134,12.3065578607898,control
135,10.4635501764624,control
136,11.6990238731634,control
137,11.471720095555,control
