user_id,city,tenure,channel,opu_6_week
31c0fadd6066ab12e90fa931abbb649f7f591cd7927b9bbc76dbfaf2f50ebcd7,STL,35,14,0.5
458c88e94be0dba675b65ea063233ea55806bf75c920a763f92cc86359c5a070,EDM,4,15,0.5
62a556505ca62b9d00ea39e01885649c84ee8167c08bc4343071fa9186bf4433,CAL,25,15,0.67
cf6ebf0bd83ea0c3d12526cd4952cd778c57abb0923f0b83f701b216556accb4,MSY,68,14,0.83
62d891d1d4a359eeee374346a57f943e8554193870a2c15ee70ad973cc54b0c0,SAN,17,2,0.33
ef6731f7f21e652996b4c88aa0b84572e498984b91b30e97b59c3302d82f434b,HAL,0,10,0.17
987f3b648a4c2113013e2e6f2d0bc221e4b4fb79c490a59a19bffd17fe869845,STL,46,10,0
ccf412d3cf33bab85ad12b9885998b6ef21be8d2fe5b42bea04ae52a3bff8fe4,MSY,53,5,0
2919134f466d9415da0f2e000b325380966e0556d85f1d416db9a7c2f324c337,HAL,4,10,0.17
1e6b1d5ffce3d9a4709fd22ba7994e0767b10a25937f068098067d773acb610e,HAL,3,10,0.33
015c0e76083e7e5ee49264cf38803fdacbfabeaa67218be973475c87397969a4,CAL,25,15,0.33
52950ca848c6fb4183f5b95947b3f53fef44ae9949500fba0e4dc014a827b911,PDX,28,15,0.67
6f99292018c151f499e6e71ef24a3690a5a53e834ae6d5b46135e26f1d7205e8,HAL,5,15,0.17
3321e6cfbe9d7d82ba59f9e2559eeb418b6764db47fa8c3a0dcd906289f0e987,EDM,0,15,0.17
c920c8849f2572d61ee68171a38b8d664a8d0db1a93c5d5e9b9d62f9a779bc0d,EDM,4,10,0.17
657951b6b41733ed09df25893f0ade5edd552b781204b9406d7caf6e06074629,CAL,20,15,0.17
58d5966cfa0a80369c43287a45a6897afb11399b91582c7be8fd8522db13da78,PDX,40,15,0.33
abea1bbf4b7cf7dc7498f09ce0b3ac431a9805421f260a76b92de0a5e92f690a,MSY,54,14,0.17
074313cbce813161e73588bcd5d70f12783841a2e6333dd7f78c94d528046faa,HAL,5,10,0.17
2be07fd8d746686d11b6862b13afa3f9f4847583f63bbb0e4fe50852186eb4c3,PDX,7,2,0.17
cebfb5b34f26329b9c6c3f53e8f36974deaf1841830a57bc42568a45ae6427e1,MSY,60,14,0
9267d0a1797aa1a30562fe567f3aaa15fec7f2bd36843dff368518551cb6077b,HAL,3,10,0.17
e27b3d987491a7fbd4c9c97c1055d590cb4532c1cb0c00738b74aee9f13067e7,EDM,4,14,0.17
8f689538e999668c9bcb2ba95459508e28fb77e86e902c6d6c1a6edf99c197b4,CAL,7,10,0.67
e5e88a30a2942cb4f85050ab41e0dc270ac2a6afbb021c9b43cdf47804288701,STL,33,10,0.17
ac94d9f535b6da8a5a6eaeb027b8fec93ee41db80f749c991f0ed2e672ccce79,PDX,7,2,0.33
116a5579b4a69836aa175067102c790b43090ba43f6e83bf988be4c2d171600e,STL,36,10,0.5
dace4d73955b75cf807b270fdfe0d6d916c02462ba0fc8e78a0a6b109698c9bb,STL,32,13,0.17
89ec90bfb65382f64ccfbb01fbc3e37491c46e5809d8c9c692cf7b85e7e38cf0,PDX,41,15,1
14b73a5b76e3833dea105d5ec0a6a1d33e3148e67e266298138d6314d6be7e0f,PDX,53,15,0.5
40f3787b36e7484423efbba2b25f857f578369a6d78af7cf7be90cf150ae8b3e,HAL,7,13,0.33
14d54d2dae922468312497ab59bcb297e4b57956812276e56ef08c1e972999ea,MSY,21,10,0.17
e0867ca7fb326f6e82d697b5d4424d6c006e15208cca752cf9434820d246491d,PDX,41,14,1.33
e2aba270b98d853b060a9875b706abdc9413d6520dab7f9189fe5fc0e600ff97,PDX,40,14,0.67
2b253fbd1a1ccdb96695c9e366c3eb15904e11cdeceb32d61ef9759fb2718d58,PDX,21,15,0.17
b0510ffd65b7a9a5f7f3f5232d3a223cd8dae358b62496d29f740060ae183b73,HAL,4,2,0.17
130103334fe5acf79c54a02b5224410c03f51b0eae2f176e06ad1067b4a6659f,HAL,10,2,0.67
75422fc671f940398945a1f5ac13031872628038d94505e2913446cf314e5141,PDX,34,14,0.67
542868754e7c5265a98fdfc966e4a087ebcb295aa2350b6269a7f724ac94c093,CAL,20,2,0.83
c5708bdb6546bc7a349077718cc99f1f8cbdb61dfc46857cb5b6503e13025267,MIA,5,15,0.17
4b1a22d14534dcd7559b7ed5ffc12a0163097f2125cc497ec3d85173441d34cb,PDX,38,14,0.83
50d5103177d9a12ec0f05895cc570c6914e62f8ab066e81c19065a04244e54fc,PDX,10,10,0.17
e31696bfbbfdfeff6da6c3014b2e584fa38284381f44e576020ef1ba1ffc3aba,PDX,34,10,0.17
62e3c6425b105cf0574ece3dc315110799e909b2126d1cdc3694039ed2eded4c,EDM,7,15,0.33
9a791d24ffbc4ef93a019cdcfb568cf18374c0f29bee3cf57addb49380e2bfdc,PDX,36,10,0.17
275f65b82f17fc69c004ff7c3b2ad80f4d4f629022784a4724b5473cd900f031,MSY,74,2,0.33
